采购单号,SKU,货号,商品名称,仓库名称,采购数量,供应商名称,联系方式
2618361274,100235766451,,巴美卡豆包ai智能对话玩具DeepSeek聊天桌面小机器人工陪伴生日礼物,北京常温C中件消费品20号库-CHN,8,深圳市奥酷文化传播有限公司,"15930652745,4006225686-01123"
2618361274,100226220956,,巴美卡霸王龙超大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,北京常温C中件消费品20号库-CHN,12,深圳市奥酷文化传播有限公司,"15930652745,4006225686-01123"
2618361274,100225966434,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物节日礼物 霸王龙,北京常温C中件消费品20号库-CHN,10,深圳市奥酷文化传播有限公司,"15930652745,4006225686-01123"
2618361274,100226220958,,巴美卡 腕龙大号实心恐龙收藏模型玩具仿真侏罗纪动物男女小孩生日礼物,北京常温C中件消费品20号库-CHN,10,深圳市奥酷文化传播有限公司,"15930652745,4006225686-01123"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
