采购单号,SKU,货号,商品名称,仓库名称,采购数量,供应商名称,联系方式
2618361378,100173904675,Q9899-V3,巴美卡大套装2大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,西安常温C中件消费品18号库-CHN,12,深圳市奥酷文化传播有限公司,"13772016741,4006225686-02946"
2618361378,100235766451,Y0034,巴美卡豆包ai智能对话玩具DeepSeek聊天桌面小机器人工陪伴生日礼物,西安常温C中件消费品18号库-CHN,3,深圳市奥酷文化传播有限公司,"13772016741,4006225686-02946"
2618361378,100301480878,D271,巴美卡控笔训练字帖幼儿园3-6岁入门儿童衔接册早教专注力玩具生日礼物,西安常温C中件消费品18号库-CHN,20,深圳市奥酷文化传播有限公司,"13772016741,4006225686-02946"
2618361378,100226075948,M5077,巴美卡沧龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,西安常温C中件消费品18号库-CHN,12,深圳市奥酷文化传播有限公司,"13772016741,4006225686-02946"
2618361378,100225966434,Q9899-F20,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物节日礼物 霸王龙,西安常温C中件消费品18号库-CHN,10,深圳市奥酷文化传播有限公司,"13772016741,4006225686-02946"
