采购单号,SKU,货号,商品名称,仓库名称,采购数量,供应商名称,联系方式
2618361218,100235766451,Y0034,巴美卡豆包ai智能对话玩具DeepSeek聊天桌面小机器人工陪伴生日礼物,成都常温C中件消费品7号库-CHN,6,深圳市奥酷文化传播有限公司,"18780188456,4006225686-12368"
2618361218,100173904675,Q9899-V3,巴美卡大套装2大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,成都常温C中件消费品7号库-CHN,12,深圳市奥酷文化传播有限公司,"18780188456,4006225686-12368"
2618361218,100225966588,Q9899-M1,巴美卡中号套装1大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,成都常温C中件消费品7号库-CHN,12,深圳市奥酷文化传播有限公司,"18780188456,4006225686-12368"
2618361218,100301480878,D271,巴美卡控笔训练字帖幼儿园3-6岁入门儿童衔接册早教专注力玩具生日礼物,成都常温C中件消费品7号库-CHN,20,深圳市奥酷文化传播有限公司,"18780188456,4006225686-12368"
2618361218,100301481120,Y0007,巴美卡儿童象形识字卡3-6岁幼儿园宝宝早教认汉字卡片幼小衔接生日礼物,成都常温C中件消费品7号库-CHN,12,深圳市奥酷文化传播有限公司,"18780188456,4006225686-12368"
2618361218,100225966434,Q9899-F20,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物节日礼物 霸王龙,成都常温C中件消费品7号库-CHN,10,深圳市奥酷文化传播有限公司,"18780188456,4006225686-12368"
2618361218,100226075948,M5077,巴美卡沧龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,成都常温C中件消费品7号库-CHN,30,深圳市奥酷文化传播有限公司,"18780188456,4006225686-12368"
