采购单号,SKU,货号,商品名称,仓库名称,采购数量,供应商名称,联系方式
2618361253,100226798342,,巴美卡大号实心恐龙收藏模型套装玩具仿真世界侏罗纪动物礼物 特大套装2,武汉常温C中件消费品3号库-CHN,12,深圳市奥酷文化传播有限公司,"15271911269,4006225686-11311"
2618361253,100226075948,,巴美卡沧龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,武汉常温C中件消费品3号库-CHN,30,深圳市奥酷文化传播有限公司,"15271911269,4006225686-11311"
2618361253,100225966434,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物节日礼物 霸王龙,武汉常温C中件消费品3号库-CHN,20,深圳市奥酷文化传播有限公司,"15271911269,4006225686-11311"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
