采购单号,SKU,货号,商品名称,仓库名称,采购数量,供应商名称,联系方式
2618361347,100301480878,D271,巴美卡控笔训练字帖幼儿园3-6岁入门儿童衔接册早教专注力玩具生日礼物,东莞常温C小件消费品3号库-CHN,20,深圳市奥酷文化传播有限公司,"17775116278,4006225686-03024"
2618361347,100174423795,Q9899-F64,巴美卡大号智能声动恐龙模型玩具仿真侏罗纪动物霸王龙苍龙三角龙腕龙,东莞常温C小件消费品3号库-CHN,15,深圳市奥酷文化传播有限公司,"17775116278,4006225686-03024"
2618361347,100301481120,Y0007,巴美卡儿童象形识字卡3-6岁幼儿园宝宝早教认汉字卡片幼小衔接生日礼物,东莞常温C小件消费品3号库-CHN,20,深圳市奥酷文化传播有限公司,"17775116278,4006225686-03024"
2618361347,100226075948,M5077,巴美卡沧龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,东莞常温C小件消费品3号库-CHN,12,深圳市奥酷文化传播有限公司,"17775116278,4006225686-03024"
