采购单号,SKU,货号,商品名称,仓库名称,采购数量,供应商名称,联系方式
2618361407,100235766451,Y0034,巴美卡豆包ai智能对话玩具DeepSeek聊天桌面小机器人工陪伴生日礼物,德州常温C小件消费品N7号库-CHN,20,深圳市奥酷文化传播有限公司,"1,888,822,023,018,880,000,000"
2618361407,100301480878,D271,巴美卡控笔训练字帖幼儿园3-6岁入门儿童衔接册早教专注力玩具生日礼物,德州常温C小件消费品N7号库-CHN,10,深圳市奥酷文化传播有限公司,"1,888,822,023,018,880,000,000"
2618361407,100174423795,Q9899-F64,巴美卡大号智能声动恐龙模型玩具仿真侏罗纪动物霸王龙苍龙三角龙腕龙,德州常温C小件消费品N7号库-CHN,12,深圳市奥酷文化传播有限公司,"1,888,822,023,018,880,000,000"
2618361407,100226220956,Q9899-W50,巴美卡霸王龙超大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,德州常温C小件消费品N7号库-CHN,6,深圳市奥酷文化传播有限公司,"1,888,822,023,018,880,000,000"
2618361407,100226798342,Q9899-W4,巴美卡大号实心恐龙收藏模型套装玩具仿真世界侏罗纪动物礼物 特大套装2,德州常温C小件消费品N7号库-CHN,6,深圳市奥酷文化传播有限公司,"1,888,822,023,018,880,000,000"
2618361407,100226075948,M5077,巴美卡沧龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,德州常温C小件消费品N7号库-CHN,12,深圳市奥酷文化传播有限公司,"1,888,822,023,018,880,000,000"
